year,rate_mean,rate_sd
1,2.221613397,0.444322679
2,2.221613397,0.444322679
3,2.221613397,0.444322679
4,2.221613397,0.444322679
5,2.221613397,0.444322679
6,2.733013925,0.546602785
7,2.733013925,0.546602785
8,2.733013925,0.546602785
9,2.733013925,0.546602785
10,2.733013925,0.546602785
11,0.511400528,0.546602785
12,0.511400528,0.546602785
13,0.511400528,0.546602785
14,0.511400528,0.546602785
15,0.511400528,0.546602785
16,8.328581865,2.212319157
17,8.328581865,2.212319157
18,8.328581865,2.212319157
19,8.328581865,2.212319157
20,8.328581865,2.212319157
21,8.328581865,2.212319157
22,8.328581865,2.212319157
23,8.328581865,2.212319157
24,8.328581865,2.212319157
25,8.328581865,2.212319157
26,3.31745224,2.875809606
27,3.31745224,2.875809606
28,3.31745224,2.875809606
29,3.31745224,2.875809606
30,3.31745224,2.875809606
31,3.31745224,2.875809606
32,3.31745224,2.875809606
33,3.31745224,2.875809606
34,3.31745224,2.875809606
35,3.31745224,2.875809606
