,activity,type,rate_mean,rate_sd,stock_mean,stock_sd,baseline,cv,limited_target,mod_target,amb_target
Forest,PrvtInd_East,AC,0,0,0.483995021,0.0242,796964.53,0.49,0.49,0.15,1
Forest,PrvtInd_West,AC,0,0,0.51865663,0.025933,16707557.24,0.11,0.11,0.15,0.21
Forest,NIP_East,AC,0,0,0.483995021,0.0242,64462.15,0.65,0.65,0.75,1
Forest,NIP_West,AC,0,0,0.51865663,0.025933,2193819.08,0.39,0.39,0.75,1
Forest,Local_East,AC,0,0,0.349551959,0.017478,1284,1,1,0.75,1
Forest,Local_West,AC,0,0,0.51865663,0.025933,194185.49,0.32,0.32,0.75,1
Forest,State_East,AC,0,0,0.483995021,0.0242,69086.9,0.39,0.39,0.15,1
Forest,State_West,AC,0,0,0.51865663,0.025933,1902800.46,0.1,0.1,0.15,0.32
Forest,Tribal_East,AC,0,0,0,0,0,0,0,0.75,1
Forest,Tribal_West,AC,0,0,0.51865663,0.025933,112205.85,0.43,0.43,0.75,1
Forest,Fed_East,AC,0,0,0.483995021,0.0242,457977.61,0.46,0.46,0.75,1
Forest,Fed_West,AC,0,0,0.51865663,0.025933,1781916.3,0.48,0.48,0.75,1
Forest,PrvtInd_Seq_East,AC,1.001333333,0.601,0,0,4075.301,0.49,0.49,0.15,1
Forest,PrvtInd_Seq_West,AC,3.605333333,0.705666667,0,0,33075.71,0.11,0.11,0.15,0.21
